X,CH1,CH2,,
Sequence,Volt,Volt,,
335,-1.84E+00,1.04E+00,,
336,-1.76E+00,1.12E+00,,
337,-1.88E+00,1.00E+00,,
338,-1.80E+00,1.08E+00,,
339,-1.92E+00,9.20E-01,,
340,-1.84E+00,1.00E+00,,
341,-1.96E+00,8.80E-01,,
342,-2.00E+00,9.60E-01,,
343,-1.88E+00,8.00E-01,,
344,-1.92E+00,8.80E-01,,
345,-2.04E+00,7.60E-01,,
346,-2.08E+00,8.40E-01,,
347,-1.96E+00,6.80E-01,,
348,-2.00E+00,7.60E-01,,
349,-2.12E+00,6.40E-01,,
350,-2.04E+00,7.20E-01,,
351,-2.16E+00,6.00E-01,,
352,-2.04E+00,6.40E-01,,
353,-2.20E+00,5.20E-01,,
354,-2.08E+00,6.00E-01,,
355,-2.24E+00,4.80E-01,,
356,-2.12E+00,5.20E-01,,
357,-2.24E+00,4.00E-01,,
358,-2.28E+00,4.80E-01,,
359,-2.16E+00,3.60E-01,,
360,-2.28E+00,4.00E-01,,
361,-2.16E+00,2.80E-01,,
362,-2.20E+00,3.60E-01,,
363,-2.32E+00,2.00E-01,,
364,-2.24E+00,2.80E-01,,
365,-2.36E+00,1.60E-01,,
366,-2.36E+00,2.40E-01,,
367,-2.24E+00,8.00E-02,,
368,-2.32E+00,1.60E-01,,
369,-2.40E+00,4.00E-02,,
370,-2.40E+00,8.00E-02,,
371,-2.28E+00,-4.00E-02,,
372,-2.32E+00,4.00E-02,,
373,-2.44E+00,-8.00E-02,,
374,-2.44E+00,0.00E+00,,
375,-2.32E+00,-1.60E-01,,
376,-2.44E+00,-1.20E-01,,
377,-2.40E+00,-2.40E-01,,
378,-2.48E+00,-1.60E-01,,
379,-2.36E+00,-2.80E-01,,
380,-2.48E+00,-2.00E-01,,
381,-2.36E+00,-3.60E-01,,
382,-2.48E+00,-2.80E-01,,
383,-2.44E+00,-4.40E-01,,
384,-2.40E+00,-3.60E-01,,
385,-2.52E+00,-4.80E-01,,
386,-2.52E+00,-4.00E-01,,
387,-2.40E+00,-5.60E-01,,
388,-2.52E+00,-4.80E-01,,
389,-2.40E+00,-6.00E-01,,
390,-2.52E+00,-5.20E-01,,
391,-2.40E+00,-6.80E-01,,
392,-2.52E+00,-6.00E-01,,
393,-2.44E+00,-7.20E-01,,
394,-2.52E+00,-6.40E-01,,
395,-2.44E+00,-7.60E-01,,
396,-2.52E+00,-6.80E-01,,
397,-2.48E+00,-8.40E-01,,
398,-2.52E+00,-7.60E-01,,
399,-2.44E+00,-8.80E-01,,
400,-2.52E+00,-8.00E-01,,
401,-2.44E+00,-9.60E-01,,
402,-2.52E+00,-8.80E-01,,
403,-2.40E+00,-1.00E+00,,
404,-2.52E+00,-9.20E-01,,
405,-2.40E+00,-1.08E+00,,
406,-2.52E+00,-1.00E+00,,
407,-2.40E+00,-1.12E+00,,
408,-2.48E+00,-1.16E+00,,
409,-2.40E+00,-1.04E+00,,
410,-2.48E+00,-1.08E+00,,
411,-2.36E+00,-1.24E+00,,
412,-2.48E+00,-1.16E+00,,
413,-2.36E+00,-1.28E+00,,
414,-2.48E+00,-1.32E+00,,
415,-2.36E+00,-1.20E+00,,
416,-2.44E+00,-1.24E+00,,
417,-2.36E+00,-1.40E+00,,
418,-2.44E+00,-1.32E+00,,
419,-2.32E+00,-1.48E+00,,
420,-2.40E+00,-1.36E+00,,
421,-2.28E+00,-1.52E+00,,
422,-2.40E+00,-1.44E+00,,
423,-2.28E+00,-1.56E+00,,
424,-2.36E+00,-1.48E+00,,
425,-2.24E+00,-1.60E+00,,
426,-2.24E+00,-1.52E+00,,
427,-2.36E+00,-1.68E+00,,
428,-2.32E+00,-1.60E+00,,
429,-2.20E+00,-1.72E+00,,
430,-2.32E+00,-1.64E+00,,
431,-2.20E+00,-1.76E+00,,
432,-2.28E+00,-1.80E+00,,
433,-2.16E+00,-1.68E+00,,
434,-2.28E+00,-1.72E+00,,
435,-2.12E+00,-1.84E+00,,
436,-2.24E+00,-1.76E+00,,
437,-2.12E+00,-1.88E+00,,
438,-2.20E+00,-1.80E+00,,
439,-2.08E+00,-1.92E+00,,
440,-2.16E+00,-1.84E+00,,
441,-2.04E+00,-1.96E+00,,
442,-2.12E+00,-2.00E+00,,
443,-2.00E+00,-1.88E+00,,
444,-2.08E+00,-1.92E+00,,
445,-1.96E+00,-2.04E+00,,
446,-2.08E+00,-2.08E+00,,
447,-1.96E+00,-1.96E+00,,
448,-2.04E+00,-2.00E+00,,
449,-1.88E+00,-2.12E+00,,
450,-2.00E+00,-2.04E+00,,
451,-1.84E+00,-2.16E+00,,
452,-1.96E+00,-2.04E+00,,
